code,mark,id
softdev,78,3010
ethics,42,1509
bio,83,404
bio,70,1520
ai,58,1157
geometry,27,1338
ethics,39,293
ai,30,878
geometry,86,2056
greatbooks,81,2258
european cinema,34,1383
ai,6,415
orgo,21,218
geometry,19,1864
ai,24,447
ceramics,7,439
geometry,16,1736
greatbooks,30,834
european cinema,6,148
bio,47,1106
geometry,93,176
orgo,39,1340
bio,55,2315
orgo,99,1037
geometry,57,1523
european cinema,77,694
orgo,55,2168
european cinema,81,2967
orgo,48,2128
ethics,81,428
ceramics,52,2617
greatbooks,61,2707
ethics,48,1633
softdev,54,53
ai,53,1438
geometry,30,2538
ai,16,1907
ethics,10,2596
bio,39,46
ethics,44,3230
systems,9,2298
geometry,55,659
ai,83,277
softdev,94,517
bio,17,2958
european cinema,86,2905
systems,71,1789
greatbooks,81,3180
ceramics,10,1105
orgo,100,931
european cinema,93,1486
systems,54,397
ethics,67,2626
systems,48,1744
orgo,78,3175
european cinema,61,1259
ai,21,2920
european cinema,71,2397
bio,98,2885
ceramics,83,2035
greatbooks,88,859
greatbooks,37,777
ethics,47,2992
systems,1,1987
ethics,95,1462
ai,94,501
european cinema,41,1056
ethics,65,1358
ai,42,3100
orgo,93,1560
systems,57,1265
ceramics,86,566
orgo,2,864
softdev,99,1009
ceramics,56,1692
softdev,44,1898
systems,82,330
geometry,11,1832
greatbooks,10,3079
bio,54,2281
ethics,62,2014
orgo,70,723
greatbooks,68,63
ceramics,85,2420
european cinema,41,1530
geometry,50,2217
softdev,7,218
bio,48,1524
orgo,92,922
ceramics,48,1633
orgo,98,1919
bio,19,1551
systems,49,1546
geometry,57,1475
orgo,89,912
ethics,7,359
softdev,23,2319
ai,41,2966
systems,88,3228
geometry,69,3275
geometry,84,2775
ceramics,0,1585
ceramics,43,2365
ai,2,1363
ceramics,5,3042
european cinema,79,1882
ethics,18,1978
ceramics,92,1942
geometry,70,218
ceramics,94,1352
systems,37,2109
bio,98,371
orgo,92,246
systems,74,677
bio,56,1614
ethics,93,2048
ai,49,153
orgo,43,2603
ceramics,56,252
softdev,34,1651
softdev,53,1133
ethics,29,2976
orgo,26,458
ceramics,77,507
bio,85,2338
softdev,11,1762
orgo,19,595
ethics,45,640
ceramics,45,1233
ai,13,1258
systems,52,2772
geometry,74,3261
bio,19,893
softdev,12,3101
geometry,78,2023
european cinema,34,2284
greatbooks,65,247
geometry,33,2293
ceramics,54,3021
ai,97,1610
ceramics,19,986
geometry,4,1702
european cinema,74,3038
softdev,29,464
european cinema,48,1794
softdev,88,3241
geometry,60,2207
greatbooks,87,1700
ceramics,64,1330
greatbooks,2,1203
orgo,80,59
greatbooks,0,1545
systems,84,673
bio,93,2055
ceramics,59,3129
ethics,85,1281
ai,2,534
greatbooks,51,491
orgo,68,889
ceramics,59,2926
systems,52,2349
ai,37,2057
greatbooks,17,1380
geometry,51,2157
softdev,10,1664
greatbooks,99,1624
greatbooks,13,2029
greatbooks,88,2142
orgo,54,3205
bio,89,902
ethics,70,396
ceramics,88,786
european cinema,21,262
bio,9,1496
softdev,9,292
orgo,39,3229
orgo,63,2216
geometry,81,2706
european cinema,46,1748
orgo,66,553
orgo,4,3156
ceramics,36,1071
ai,24,2291
bio,11,2584
ceramics,82,83
systems,53,657
ceramics,99,1267
ai,14,2636
bio,11,858
systems,10,1682
systems,12,460
ceramics,40,2925
ethics,48,2567
greatbooks,3,1279
softdev,47,1601
orgo,19,2279
ethics,30,1039
ethics,39,3072
ai,92,1603
geometry,75,1292
greatbooks,52,648
ceramics,98,1412
bio,53,249
bio,0,3190
orgo,2,3101
ceramics,37,2430
systems,95,2799
european cinema,83,810
softdev,11,607
orgo,67,2054
ai,65,2252
ethics,87,1112
ceramics,15,2850
orgo,8,3279
orgo,12,1946
systems,94,1017
bio,17,2455
bio,84,453
european cinema,38,3209
ceramics,5,2614
softdev,80,1312
bio,84,1203
softdev,54,1553
ceramics,3,1081
bio,66,2312
greatbooks,6,2766
bio,67,1983
systems,78,907
orgo,48,2471
geometry,17,1148
softdev,53,3114
systems,96,680
systems,65,3289
european cinema,71,46
geometry,30,3003
systems,100,2691
geometry,10,3135
orgo,48,814
european cinema,38,1148
european cinema,2,477
ethics,87,1980
softdev,27,2103
bio,100,1822
bio,22,3024
systems,37,604
ethics,54,2618
european cinema,90,2405
ceramics,77,397
european cinema,50,731
ai,55,2629
geometry,97,2542
ai,56,742
greatbooks,99,270
ceramics,82,366
softdev,20,591
geometry,41,1535
bio,65,2249
european cinema,5,941
ceramics,73,1156
bio,41,215
geometry,93,2918
orgo,81,1646
geometry,77,2884
ethics,78,2916
european cinema,46,3118
ethics,48,2793
orgo,57,1461
ethics,64,543
geometry,89,762
ai,77,3011
bio,52,1370
ethics,3,3190
european cinema,85,292
geometry,18,1923
ceramics,23,242
bio,32,2173
orgo,58,2578
softdev,19,3258
ai,44,2621
bio,4,2618
european cinema,94,1732
ethics,1,548
greatbooks,89,209
greatbooks,73,1287
softdev,82,1518
ethics,94,2036
ethics,48,2974
ai,40,34
systems,77,2747
greatbooks,97,845
greatbooks,5,1245
european cinema,6,1074
bio,13,2298
greatbooks,39,1093
ai,14,1774
bio,80,1951
greatbooks,21,1146
systems,42,1805
ethics,8,945
ceramics,57,1743
ai,69,2275
softdev,85,1303
european cinema,30,2177
orgo,51,1364
softdev,7,2799
ai,18,2160
ethics,52,1629
ceramics,16,1873
softdev,40,1013
greatbooks,14,1284
orgo,91,2399
softdev,97,380
geometry,98,2641
bio,47,2038
greatbooks,90,2889
bio,35,2190
ceramics,49,3028
softdev,47,1794
ai,12,1757
ai,97,1618
ceramics,32,2257
ai,16,685
ceramics,73,1541
ethics,79,1905
european cinema,65,1791
geometry,73,591
greatbooks,70,2361
geometry,21,1498
ai,34,1378
ethics,2,3141
european cinema,60,815
bio,88,1554
ai,44,1041
ethics,6,843
softdev,43,1878
ai,54,1117
orgo,14,744
ethics,55,743
orgo,43,424
systems,23,100
bio,26,720
ai,72,1629
greatbooks,77,8
systems,96,1500
greatbooks,20,124
ceramics,82,929
ai,10,3121
geometry,53,58
geometry,22,3143
ethics,27,2244
ethics,65,2879
geometry,72,1619
ceramics,96,1732
orgo,20,2282
softdev,25,2478
ethics,28,3217
european cinema,37,2590
bio,44,1726
bio,48,1258
ai,74,1062
ceramics,37,1794
orgo,85,1063
bio,70,2309
ethics,0,1105
ethics,42,2172
softdev,20,909
geometry,96,1593
bio,32,2161
orgo,13,1935
geometry,78,1286
orgo,87,2422
ai,62,2204
orgo,10,619
bio,6,2222
ethics,80,1530
ethics,2,1684
bio,82,2559
ethics,1,2233
ethics,98,111
softdev,39,1950
orgo,7,1218
ethics,15,3241
ethics,75,2108
softdev,30,262
systems,17,1697
systems,11,15
ai,95,342
softdev,90,2757
greatbooks,38,3118
european cinema,29,3172
ethics,90,429
ai,20,15
ceramics,48,2687
european cinema,62,3240
ethics,14,1774
geometry,92,1141
orgo,56,113
greatbooks,42,1188
bio,54,613
geometry,42,1889
softdev,98,204
systems,92,768
geometry,15,396
ai,51,57
greatbooks,38,2275
ceramics,26,922
european cinema,80,3041
orgo,93,799
ethics,15,2179
systems,62,973
european cinema,50,1353
greatbooks,85,2452
ethics,66,1476
systems,99,2016
softdev,58,378
geometry,80,549
